,precision,recall,f1-score,support
0,0.7768496420047732,0.9365409207161125,0.8492535150021742,6256.0
1,0.9606926882902693,0.9861738148984198,0.973266499582289,3544.0
2,1.0,0.9926383981154299,0.9963056007093246,3396.0
3,0.4649651972157773,0.3812785388127854,0.418983901317165,2628.0
4,0.4161053276178812,0.5167300380228137,0.46099050203527814,2630.0
5,0.2335975943138327,0.6555427694668201,0.344452282575834,2607.0
6,0.9761904761904762,0.04865506329113924,0.09269027882441598,2528.0
7,0.6593160754234579,0.8238817891373802,0.7324693768862063,2504.0
8,0.36718115353371245,0.36584378794010525,0.3665112507601865,2471.0
9,0.6602610587382161,0.697166921898928,0.6782122905027933,2612.0
10,0.8963093145869947,0.823576907549455,0.858405217757206,2477.0
11,0.6088235294117647,0.08303249097472924,0.14613483939286975,2493.0
12,0.5907859078590786,0.17377441211638103,0.2685555897751771,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.624534747361444,0.624534747361444,0.624534747361444,0.624534747361444
macro avg,0.6407385310124156,0.52162664772459,0.5128805259537979,39226.0
weighted avg,0.6852042342407245,0.624534747361444,0.5973032079412928,39226.0
