,precision,recall,f1-score,support
0,0.9574468085106383,0.8919437340153452,0.9235352532274081,6256.0
1,0.944549715767428,0.7844127878085142,0.8570652911632958,12074.0
2,0.7495775599864819,0.830867203596179,0.7881318290841254,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5412058508740635,0.5966177241740954,0.5675625116917129,7628.0
5,0.5817571348628987,0.6832281808622502,0.6284228979024361,7608.0
accuracy,0.7481007495028807,0.7481007495028807,0.7481007495028807,0.7481007495028807
macro avg,0.7957561783335851,0.6877722488974555,0.7119490878758374,39226.0
weighted avg,0.7717228778741294,0.7481007495028807,0.75477556943064,39226.0
