,precision,recall,f1-score,support
0,0.8684535355316523,0.7872442455242967,0.8258572985662782,6256.0
1,0.8985968753109762,0.7478880238529071,0.8163449803372056,12074.0
2,0.6930340557275542,0.8385465442966847,0.7588778710060174,5339.0
3,0.9905660377358491,0.32710280373831774,0.4918032786885245,321.0
4,0.5427714646464646,0.4508390141583639,0.4925522772844457,7628.0
5,0.5515843078083742,0.7687960042060988,0.6423237425873051,7608.0
accuracy,0.7093509407025952,0.7093509407025952,0.7093509407025952,0.7093509407025952
macro avg,0.7575010461268117,0.6534027726294448,0.6712932414116294,39226.0
weighted avg,0.7300642089064066,0.7093509407025952,0.7106668577706666,39226.0
