,precision,recall,f1-score,support
0,0.8642761890650467,0.9323849104859335,0.897039600153787,6256.0
1,0.9607949904710046,0.9957674943566591,0.9779686850491894,3544.0
2,1.0,0.9997055359246172,0.9998527462818436,3396.0
3,0.6921487603305785,0.3824200913242009,0.49264705882352944,2628.0
4,0.48183254344391785,0.5798479087452472,0.5263157894736842,2630.0
5,0.28986232790988736,0.4441887226697353,0.350802787034232,2607.0
6,0.5748792270531401,0.14121835443037975,0.22673864718958398,2528.0
7,0.726250484683986,0.7480031948881789,0.7369663584497345,2504.0
8,0.5445221445221445,0.4726831242411979,0.5060658578856153,2471.0
9,0.6212212817412334,0.7867534456355283,0.6942567567567567,2612.0
10,0.9971278123504069,0.8409366168752523,0.9123959702146299,2477.0
11,0.3206436420722135,0.327717609306057,0.3241420353104543,2493.0
12,0.3145817912657291,0.3387803905938621,0.3262329687200154,2509.0
13,0.3987577639751553,1.0,0.5701598579040852,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6620353846938255,0.6620353846938255,0.6620353846938255,0.6620353846938255
macro avg,0.5857932639256295,0.5993604932984566,0.5694390079498094,39226.0
weighted avg,0.6749690042152805,0.6620353846938255,0.6531078299532342,39226.0
