,precision,recall,f1-score,support
0,0.9573883161512028,0.8906649616368286,0.9228221265319643,6256.0
1,0.850442558627612,0.7719065761139638,0.8092736508487821,12074.0
2,0.7591718125681075,0.7829181494661922,0.7708621484555095,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5336156017449319,0.5452281069743052,0.5393593567630659,7628.0
5,0.5658331489267537,0.6721871713985279,0.6144419079658778,7608.0
accuracy,0.7253862234232397,0.7253862234232397,0.7253862234232397,0.7253862234232397
macro avg,0.7777419063364347,0.6670781380863611,0.6939559891252077,39226.0
weighted avg,0.7394881321867618,0.7253862234232397,0.729404605073495,39226.0
