,precision,recall,f1-score,support
0,0.8489478235802825,0.9414961636828645,0.8928300742761862,6256.0
1,0.9607949904710046,0.9957674943566591,0.9779686850491894,3544.0
2,1.0,0.9991166077738516,0.9995581087052585,3396.0
3,0.8500428449014568,0.3774733637747336,0.5227931488801054,2628.0
4,0.47741147741147744,0.5946768060836501,0.5296308838469354,2630.0
5,0.2798204360837965,0.5021097046413502,0.35936856554564167,2607.0
6,0.7974358974358975,0.12302215189873418,0.2131596984235778,2528.0
7,0.7469879518072289,0.7180511182108626,0.7322337609448177,2504.0
8,0.6316725978647687,0.4309995953055443,0.5123887418811642,2471.0
9,0.6112068965517241,0.8143185298621746,0.6982928430728824,2612.0
10,0.9985632183908046,0.8417440452159871,0.9134720700985762,2477.0
11,0.31526881720430106,0.29402326514239874,0.3042756330427563,2493.0
12,0.28992460589444824,0.3371861299322439,0.3117744610281924,2509.0
13,0.39776951672862454,1.0,0.5691489361702128,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6618824249222455,0.6618824249222455,0.6618824249222455,0.6618824249222455
macro avg,0.6137231382883876,0.5979989983920703,0.5691263740643664,39226.0
weighted avg,0.7007926879333801,0.6618824249222455,0.6525842990913309,39226.0
