,precision,recall,f1-score,support
0,0.9569615912208504,0.8921035805626598,0.923395102581072,6256.0
1,0.9797867880457567,0.9923870185016682,0.9860466517991682,32970.0
accuracy,0.9763932085861419,0.9763932085861419,0.9763932085861419,0.9763932085861419
macro avg,0.9683741896333036,0.942245299532164,0.9547208771901201,39226.0
weighted avg,0.9761464874457308,0.9763932085861419,0.976054603364242,39226.0
