,precision,recall,f1-score,support
0,0.8562125107112254,0.7985933503836317,0.8263998015052518,6256.0
1,0.9685615848406546,0.7450720556567831,0.8422432356520925,12074.0
2,0.6898849182313749,0.8533433227196104,0.7629573808925729,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.46715028743498493,0.894861038280021,0.6138489208633093,7628.0
5,0.9017278617710583,0.32925867507886436,0.4823801270941653,7608.0
accuracy,0.7135063478305206,0.7135063478305206,0.7135063478305206,0.7135063478305206
macro avg,0.8139228604982164,0.6601153841745432,0.6724677016989064,39226.0
weighted avg,0.8025019524224004,0.7135063478305206,0.7119705948153552,39226.0
