,precision,recall,f1-score,support
0,0.8886278195488722,0.906809462915601,0.897626582278481,6256.0
1,0.7657155935306683,0.8312903760145768,0.7971566992296084,12074.0
2,0.8045483801759279,0.7023787226072298,0.7499999999999999,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5172168131085253,0.5710540115364446,0.5428037383177571,7628.0
5,0.6033323142769795,0.5187960042060988,0.5578798586572438,7608.0
accuracy,0.7105491255799725,0.7105491255799725,0.7105491255799725,0.7105491255799725
macro avg,0.7632401534401622,0.6449820733680499,0.6754072704448562,39226.0
weighted avg,0.712702585391256,0.7105491255799725,0.7085165018270624,39226.0
