,precision,recall,f1-score,support
0,0.9512070724243454,0.8943414322250639,0.9218981710331191,6256.0
1,0.9151853252647504,0.8016398873612721,0.8546578366445915,12074.0
2,0.7733116060112258,0.7999625398014609,0.7864113422942367,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5418075801749271,0.6090718405873099,0.5734740480157995,7628.0
5,0.5915196822801074,0.6656151419558359,0.6263838208918301,7608.0
accuracy,0.7485851221128843,0.7485851221128843,0.7485851221128843,0.7485851221128843
macro avg,0.7955052110258928,0.685032450809882,0.7116336605109371,39226.0
weighted avg,0.7669300895117687,0.7485851221128843,0.7542933645192527,39226.0
