,precision,recall,f1-score,support
0,0.9989692846835704,0.774616368286445,0.8726028630593319,6256.0
1,0.7173896294013407,0.7711611727679311,0.7433041951063746,12074.0
2,0.6140426448416971,0.5339951301741899,0.5712282107794029,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.459719860740021,0.7443628736234924,0.5683968166574903,7628.0
5,0.584672723037503,0.32991587802313355,0.4218132930005882,7608.0
accuracy,0.645107836638964,0.645107836638964,0.645107836638964,0.645107836638964
macro avg,0.7291323571173555,0.5822692143005902,0.6140536871315391,39226.0
weighted avg,0.6746958926675223,0.645107836638964,0.6422034305272093,39226.0
