,precision,recall,f1-score,support
0,0.8896963824289406,0.8805946291560103,0.8851221079691517,6256.0
1,0.7481588338015337,0.8161338413119099,0.780669439492969,12074.0
2,0.7701149425287356,0.7027533245926203,0.7348937420428949,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5213800452910616,0.5131095962244363,0.517211760819293,7628.0
5,0.5731525423728814,0.5555993690851735,0.5642394714009211,7608.0
accuracy,0.6976240248814561,0.6976240248814561,0.6976240248814561,0.6976240248814561
macro avg,0.7504171244038589,0.6346257705497499,0.6648522109852127,39226.0
weighted avg,0.6977383759192675,0.6976240248814561,0.6956480179853065,39226.0
