,precision,recall,f1-score,support
0,0.8822429906542056,0.9053708439897699,0.8936573051435783,6256.0
1,0.7472673559822748,0.8379990061288719,0.7900366986804092,12074.0
2,0.800302571860817,0.6935755759505525,0.7431266305438492,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5158189340472135,0.5557157839538542,0.5350246118894358,7628.0
5,0.6066223067173637,0.5032860147213459,0.5501436781609195,7608.0
accuracy,0.7051955335746699,0.7051955335746699,0.7051955335746699,0.7051955335746699
macro avg,0.7587090265436457,0.6392518479454572,0.6698276114340397,39226.0
weighted avg,0.7057941919962638,0.7051955335746699,0.7017431463606717,39226.0
