,precision,recall,f1-score,support
0,0.886783362775012,0.8826726342710998,0.8847232235840744,6256.0
1,0.8067802135115313,0.8199436806360775,0.8133086876155268,12074.0
2,0.7490159325210871,0.7484547668102641,0.7487352445193929,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5259570005243839,0.5259570005243839,0.5259570005243839,7628.0
5,0.569226750261233,0.5728180862250263,0.5710167714884696,7608.0
accuracy,0.7111864579615561,0.7111864579615561,0.7111864579615561,0.7111864579615561
macro avg,0.7562938765988746,0.6482350052325333,0.6751196119863158,39226.0
weighted avg,0.7125746748375119,0.7111864579615561,0.7105300102959485,39226.0
