,precision,recall,f1-score,support
0,0.8509466437177281,0.7902813299232737,0.8194927896568872,6256.0
1,0.9494638496655696,0.74068245817459,0.8321779183920346,12074.0
2,0.6878306878306878,0.8522195167634389,0.761251463945123,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.46924404556437693,0.8910592553749345,0.6147515036403925,7628.0
5,0.9013629842180775,0.33031019978969506,0.48345517506733354,7608.0
accuracy,0.7101412328557589,0.7101412328557589,0.7101412328557589,0.7101412328557589
macro avg,0.8098080351660734,0.6573527704923802,0.6696842658146362,39226.0
weighted avg,0.7958405121548064,0.7101412328557589,0.7079226946751347,39226.0
