,precision,recall,f1-score,support
0,0.957282552753474,0.8919437340153452,0.9234588332643773,6256.0
1,0.9716650748169373,0.7583236706973663,0.8518397915988277,12074.0
2,0.7262578616352201,0.8651432852594119,0.7896401401829217,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5598655650469122,0.5241216570529628,0.5414042927754079,7628.0
5,0.5523928984947897,0.7524973711882229,0.637102158913866,7608.0
accuracy,0.7440728088512721,0.7440728088512721,0.7440728088512721,0.7440728088512721
macro avg,0.794577325457889,0.6885989301902763,0.7084036601535745,39226.0
weighted avg,0.7748022788090063,0.7440728088512721,0.7499568020775513,39226.0
