,precision,recall,f1-score,support
0,0.9989896948878562,0.7902813299232737,0.882463186077644,6256.0
1,0.9617236047495406,0.9998483469821049,0.9804154832185822,32970.0
accuracy,0.9664253301381737,0.9664253301381737,0.9664253301381737,0.9664253301381737
macro avg,0.9803566498186984,0.8950648384526894,0.9314393346481131,39226.0
weighted avg,0.9676670264572167,0.9664253301381737,0.9647934577529801,39226.0
