,precision,recall,f1-score,support
0,0.9559856139749957,0.8922634271099744,0.9230260438197603,6256.0
1,0.9446218319696668,0.7840814974324996,0.8568971759594497,12074.0
2,0.7491554054054054,0.8306799026034838,0.7878141930899725,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.546645445641528,0.5853434714210802,0.5653329956951126,7628.0
5,0.5802792321116929,0.6992639327024185,0.6342393896041965,7608.0
accuracy,0.7489420282465712,0.7489420282465712,0.7489420282465712,0.7489420282465712
macro avg,0.7961145881838814,0.6885326823663008,0.712381090392423,39226.0
weighted avg,0.7722257320896376,0.7489420282465712,0.7552939456414863,39226.0
