,precision,recall,f1-score,support
0,0.8508378961340634,0.819693094629156,0.8349751689326712,6256.0
1,0.9732123568805358,0.7462315719728342,0.8447402962685168,12074.0
2,0.6902990739335054,0.8516576137853531,0.7625356364246185,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5046290424857324,0.5216308337703198,0.5129891059111712,7628.0
5,0.5682692307692307,0.6991324921135647,0.6269448373408769,7608.0
accuracy,0.7161576505379086,0.7161576505379086,0.7161576505379086,0.7161576505379086
macro avg,0.7645412667005113,0.6629849115332628,0.6815269648439836,39226.0
weighted avg,0.7457456094094415,0.7161576505379086,0.7224747237577991,39226.0
