,precision,recall,f1-score,support
0,0.9565888812628689,0.8911445012787724,0.9227077126779212,6256.0
1,0.8438938053097346,0.7897962564187511,0.8159493454265424,12074.0
2,0.7714983101764927,0.7696197789848286,0.7705578996718236,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5381293188548865,0.5717094913476665,0.5544113907958301,7628.0
5,0.5915410678817619,0.6654837013669821,0.6263376012865715,7608.0
accuracy,0.73300871870698,0.73300871870698,0.73300871870698,0.73300871870698
macro avg,0.7836085639142908,0.6712195987208917,0.6994901156741226,39226.0
weighted avg,0.7448865092844557,0.73300871870698,0.7366340327334818,39226.0
