,precision,recall,f1-score,support
0,0.9520723179259765,0.8922634271099744,0.9211981186566549,6256.0
1,0.8271847984250621,0.8003975484512175,0.8135707370459233,12074.0
2,0.7854901960784314,0.7503277767372167,0.7675064661366031,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5324690492875497,0.5976664918720503,0.5631871525633108,7628.0
5,0.6020988746997092,0.6259200841219769,0.6137784365534575,7608.0
accuracy,0.7311986947432825,0.7311986947432825,0.7311986947432825,0.7311986947432825
macro avg,0.7832192060694547,0.6676898652034642,0.6977029425236659,39226.0
weighted avg,0.741874470521406,0.7311986947432825,0.7345164689758629,39226.0
