,precision,recall,f1-score,support
0,0.886783362775012,0.8826726342710998,0.8847232235840744,6256.0
1,0.8067802135115313,0.8199436806360775,0.8133086876155268,12074.0
2,0.749156355455568,0.7484547668102641,0.7488053967956525,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5258191349934469,0.5259570005243839,0.5258880587232927,7628.0
5,0.5690398432397126,0.5725552050473186,0.5707921116425342,7608.0
accuracy,0.7111354713710294,0.7111354713710294,0.7111354713710294,0.7111354713710294
macro avg,0.7562631516625452,0.6481911917029154,0.6750823704245211,39226.0
weighted avg,0.7125307267203826,0.7111354713710294,0.7104825785628213,39226.0
