,precision,recall,f1-score,support
0,0.8901081168307245,0.8817135549872123,0.8858909499718943,6256.0
1,0.8169247329634843,0.8171277124399536,0.8170262100948201,12074.0
2,0.756009842892296,0.7480801648248736,0.7520241009226133,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5268745852687459,0.5204509701101206,0.5236430785464617,7628.0
5,0.5603738317757009,0.5910883280757098,0.5753214354250623,7608.0
accuracy,0.7125885892010402,0.7125885892010402,0.7125885892010402,0.7125885892010402
macro avg,0.7583818516218251,0.6496707655610364,0.6768137531911497,39226.0
weighted avg,0.7156407893865195,0.7125885892010402,0.7126930948168272,39226.0
