,precision,recall,f1-score,support
0,0.7794489551444164,0.9360613810741688,0.8506064347447164,6256.0
1,0.9606234618539786,0.9912528216704289,0.9756978197472574,3544.0
2,1.0,0.9926383981154299,0.9963056007093246,3396.0
3,0.4710351377018044,0.3774733637747336,0.41909590198563584,2628.0
4,0.41738329238329236,0.5167300380228137,0.4617737003058104,2630.0
5,0.23493150684931507,0.6578442654392022,0.3462198445543555,2607.0
6,0.6910112359550562,0.04865506329113924,0.09090909090909093,2528.0
7,0.6569250317662008,0.8258785942492013,0.7317763623496107,2504.0
8,0.36579476861167004,0.367867260218535,0.3668280871670702,2471.0
9,0.6626506024096386,0.6948698315467075,0.6783778732947112,2612.0
10,0.954248366013072,0.8251917642309246,0.8850400519592986,2477.0
11,0.7278481012658228,0.13838748495788206,0.23255813953488372,2493.0
12,0.5855614973262032,0.17457154244719011,0.26895916487565247,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.628588181308316,0.628588181308316,0.628588181308316,0.628588181308316
macro avg,0.6338307971520314,0.5257990447977804,0.5207416544215644,39226.0
weighted avg,0.678622808801061,0.628588181308316,0.6049884229243215,39226.0
