,precision,recall,f1-score,support
0,0.888763501531517,0.8812340153452686,0.8849827433983466,6256.0
1,0.9606962380685008,0.9655756207674944,0.9631297495074584,3544.0
2,1.0,1.0,1.0,3396.0
3,0.4540133779264214,0.4132420091324201,0.4326693227091633,2628.0
4,0.45166220863584255,0.4494296577946768,0.45054316752429957,2630.0
5,0.3174418604651163,0.3141542002301496,0.3157894736842105,2607.0
6,0.2563075690828995,0.25316455696202533,0.25472636815920396,2528.0
7,0.7364463791056589,0.7432108626198083,0.7398131584178096,2504.0
8,0.4841930116472546,0.47106434641845407,0.4775384615384615,2471.0
9,0.6680358476474981,0.6849157733537519,0.6763705103969754,2612.0
10,0.8585485854858549,0.8453774727492935,0.8519121236777869,2477.0
11,0.30662305805396567,0.3008423586040915,0.30370520348248636,2493.0
12,0.3096,0.3084894380231168,0.309043721301657,2509.0
13,0.4068441064638783,1.0,0.5783783783783784,321.0
14,0.025510204081632654,0.02,0.02242152466367713,250.0
accuracy,0.6326416152551879,0.6326416152551879,0.6326416152551879,0.6326416152551879
macro avg,0.541645729879736,0.5767133541333701,0.550734927122661,39226.0
weighted avg,0.6324263626768335,0.6326416152551879,0.6314211798940466,39226.0
