,precision,recall,f1-score,support
0,0.9989714050606872,0.7762148337595908,0.8736169829990106,6256.0
1,0.7159002941631831,0.7659433493457015,0.7400768245838669,12074.0
2,0.6153182308522115,0.5341824311668851,0.5718869059554843,5339.0
3,1.0,0.32710280373831774,0.49295774647887325,321.0
4,0.4595010529726227,0.7437073938122706,0.5680384499849804,7628.0
5,0.5757853703279064,0.3300473186119874,0.41958392513994486,7608.0
accuracy,0.6435782389231632,0.6435782389231632,0.6435782389231632,0.6435782389231632
macro avg,0.7275793922294351,0.5795330217391256,0.6110268058570266,39226.0
weighted avg,0.6726451441858912,0.6435782389231632,0.6408446145957681,39226.0
