,precision,recall,f1-score,support
0,0.8821334162649666,0.906809462915601,0.8943012532513598,6256.0
1,0.8129761809287032,0.8395726354149412,0.8260603838161594,12074.0
2,0.7339587242026266,0.7327214834238621,0.7333395819664449,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5360550791158353,0.5818038804404825,0.5579933362670523,7628.0
5,0.625453995157385,0.5432439537329127,0.5814575126617895,7608.0
accuracy,0.7240605720695457,0.7240605720695457,0.7240605720695457,0.7240605720695457
macro avg,0.7650962326115861,0.657285879809358,0.6833548020248087,39226.0
weighted avg,0.7245599558419822,0.7240605720695457,0.7221420283208932,39226.0
