,precision,recall,f1-score,support
0,0.848528563185228,0.9402173913043478,0.89202305125872,6256.0
1,0.9607949904710046,0.9957674943566591,0.9779686850491894,3544.0
2,0.9994108983799705,0.9991166077738516,0.9992637314092181,3396.0
3,0.5775900400177857,0.4942922374429224,0.5327045314742669,2628.0
4,0.4756135445790618,0.5821292775665399,0.5235082920157292,2630.0
5,0.2588623248145095,0.48177982355197546,0.3367743665370693,2607.0
6,0.6828752642706131,0.12776898734177214,0.2152615794735088,2528.0
7,0.7512647554806071,0.7116613418530351,0.7309269893355209,2504.0
8,0.5700325732899023,0.42492917847025496,0.4869000695571528,2471.0
9,0.6255236867547534,0.7431087289433385,0.6792650918635171,2612.0
10,0.9812900049236829,0.8046023415421881,0.8842058562555457,2477.0
11,0.3109704641350211,0.29562775772162053,0.30310507916923707,2493.0
12,0.3142747505755948,0.32642487046632124,0.32023460410557186,2509.0
13,1.0,0.3395638629283489,0.5069767441860465,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6537500637332382,0.6537500637332382,0.6537500637332382,0.6537500637332382
macro avg,0.6238021240585158,0.5511326600842118,0.5592745781126862,39226.0
weighted avg,0.6759901572756988,0.6537500637332382,0.6464712670565278,39226.0
