,precision,recall,f1-score,support
0,0.9989905108015344,0.790920716112532,0.8828619859041842,6256.0
1,0.6634042240047097,0.7466456849428524,0.7025678993102912,12074.0
2,0.6159767006448928,0.5545982393706687,0.5836782968657598,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.46939698038152067,0.680650235972732,0.5556209535020601,7628.0
5,0.5236881240705332,0.3240010515247108,0.40032480714575713,7608.0
accuracy,0.6294294600520063,0.6294294600520063,0.6294294600520063,0.6294294600520063
macro avg,0.7119094233171985,0.572729965141974,0.6053384478190166,39226.0
weighted avg,0.6483991805238669,0.6294294600520063,0.6263431175245419,39226.0
