,precision,recall,f1-score,support
0,0.8892649903288201,0.8818734015345269,0.885553772070626,6256.0
1,0.9607182940516273,0.9661399548532731,0.9634214969048959,3544.0
2,1.0,1.0,1.0,3396.0
3,0.45854483925549916,0.4124809741248097,0.4342948717948718,2628.0
4,0.4523990860624524,0.45171102661596957,0.4520547945205479,2630.0
5,0.31869413136416636,0.3145377828922133,0.31660231660231664,2607.0
6,0.2535154680594616,0.24960443037974683,0.25154474785728526,2528.0
7,0.7361331220285261,0.7420127795527156,0.7390612569610183,2504.0
8,0.4802143446001649,0.47146904087414004,0.4758015111292628,2471.0
9,0.6669153301007087,0.6845329249617151,0.6756092952956736,2612.0
10,0.8606658446362515,0.8453774727492935,0.8529531568228106,2477.0
11,0.3118103800572129,0.30605695948656236,0.3089068825910931,2493.0
12,0.30723370429252783,0.30809087285771225,0.3076616915422886,2509.0
13,0.4068441064638783,1.0,0.5783783783783784,321.0
14,0.02577319587628866,0.02,0.022522522522522525,250.0
accuracy,0.6329220415030847,0.6329220415030847,0.6329220415030847,0.6329220415030847
macro avg,0.5419151224785057,0.5769258413921785,0.5509577796662395,39226.0
weighted avg,0.6327330742975199,0.6329220415030847,0.6316983143934812,39226.0
