,precision,recall,f1-score,support
0,0.8415200796548291,0.8105818414322251,0.8257612766650384,6256.0
1,0.9630586968228325,0.7405996355805864,0.8373051172807715,12074.0
2,0.6881606765327696,0.8535306237123057,0.761976423375972,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.5061871616395979,0.514813843733613,0.5104640582347589,7628.0
5,0.5665181413112667,0.7018927444794952,0.6269813314547376,7608.0
accuracy,0.71243562942946,0.71243562942946,0.71243562942946,0.71243562942946
macro avg,0.7609074593268826,0.660163758644429,0.6782441585328876,39226.0
weighted avg,0.7408065024180625,0.71243562942946,0.7181565797704312,39226.0
