,precision,recall,f1-score,support
0,0.8886456052549265,0.9082480818414322,0.8983399209486166,6256.0
1,0.835644879993356,0.8333609408646678,0.8345013477088948,12074.0
2,0.8218943767372248,0.7199850159205844,0.7675718849840255,5339.0
3,0.4068441064638783,1.0,0.5783783783783784,321.0
4,0.5355422394548232,0.597535395909806,0.5648429270710702,7628.0
5,0.621074258878779,0.5562565720294427,0.5868811537928165,7608.0
accuracy,0.7316320807627594,0.7316320807627594,0.7316320807627594,0.7316320807627594
macro avg,0.6849409111304979,0.7692310010943223,0.7050859354806337,39226.0
weighted avg,0.7387417372967087,0.7316320807627594,0.7330118604199966,39226.0
