,precision,recall,f1-score,support
0,0.9989905108015344,0.790920716112532,0.8828619859041842,6256.0
1,0.6640861166408611,0.7459831041908233,0.7026563170417754,12074.0
2,0.6153527829505483,0.557033152275707,0.5847424302005505,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.4691100426381203,0.6778972207656004,0.5545010991367755,7628.0
5,0.5211801896733403,0.3250525762355415,0.4003885695782401,7608.0
accuracy,0.6292255136898995,0.6292255136898995,0.6292255136898995,0.6292255136898995
macro avg,0.7114532737840674,0.5727417720847588,0.605354524341262,39226.0
weighted avg,0.6479819304631492,0.6292255136898995,0.6263097676813849,39226.0
