,precision,recall,f1-score,support
0,0.8441009187691411,0.9251918158567775,0.882788072904751,6256.0
1,0.9609544468546638,1.0,0.9800884955752213,3544.0
2,1.0,1.0,1.0,3396.0
3,0.40019317450096586,0.4729832572298326,0.4335542378793164,2628.0
4,0.4243421052631579,0.49049429657794674,0.45502645502645506,2630.0
5,0.32593856655290104,0.36632144227080937,0.34495214014809467,2607.0
6,0.2453282223287015,0.20253164556962025,0.22188515709642467,2528.0
7,0.699750089253838,0.7827476038338658,0.7389255419415647,2504.0
8,0.5196403218173213,0.4443545123431809,0.4790575916230366,2471.0
9,0.6844426623897354,0.6535222052067381,0.6686251468860165,2612.0
10,0.9614299153339605,0.8251917642309246,0.88811644579622,2477.0
11,0.34157416750756814,0.2715603690332932,0.3025698324022347,2493.0
12,0.37575757575757573,0.27182144280589876,0.31544865864939875,2509.0
13,0.4068441064638783,1.0,0.5783783783783784,321.0
14,0.0,0.0,0.0,250.0
accuracy,0.6428644266557896,0.6428644266557896,0.6428644266557896,0.6428644266557896
macro avg,0.5460197515195606,0.5804480236639259,0.5526277436204742,39226.0
weighted avg,0.6335161781585466,0.6428644266557896,0.6347889857441048,39226.0
