,precision,recall,f1-score,support
0,0.9510620220900595,0.8946611253196931,0.9219998352689236,6256.0
1,0.9157745144481289,0.8005631936392248,0.8543020018560255,12074.0
2,0.7658058771148709,0.8053942685896235,0.7851013328464488,5339.0
3,1.0,0.3395638629283489,0.5069767441860465,321.0
4,0.543842603837746,0.587047718930257,0.5646198461732442,7628.0
5,0.5848436792025374,0.6786277602523659,0.6282550498904843,7608.0
accuracy,0.7472849640544537,0.7472849640544537,0.7472849640544537,0.7472849640544537
macro avg,0.7935547827822237,0.6843096549432522,0.7102091350368621,39226.0
weighted avg,0.7651676227248674,0.7472849640544537,0.7526628638397812,39226.0
